ponto;Profundidade; pH CaCl2     ;P meh-û mg.dm-ü;K mg.dm-ü;S mg.dm-ü;K cmolc.dm-ü    ;Ca+Mg;Ca cmolc.dm-ü;Mg cmolc.dm-ü;Al cmolc.dm-ü;H+Al cmolc.dm-ü;MO dag.kg-û ;B mg.dm-ü;Cu mg.dm-ü;Fe mg.dm-ü;Mn mg.dm-ü;Zn mg.dm-ü;T cmolc.dm-ü;t cmolc.dm-ü;V %;m %;Ca/Mg;Ca/K;Mg/K;Ca/T %;Mg/T %;K/T %;H+Al/T %;Argila %;Silte %;Areia total %
26;00-20;5,69999980926514;3,70000004768372;44;;0,109999999403954;4,09999990463257;3,40000009536743;0,699999988079071;0;1,79999995231628;1,60000002384186;;;;;;6,01000022888184;4,21000003814697;70;0;4,90000009536743;30,8999996185303;6,40000009536743;56,5999984741211;11,6000003814697;1,79999995231628;30;25;5;70
27;00-20;5,69999980926514;2,79999995231628;38;7,90000009536743;0,100000001490116;3,40000009536743;3;0,400000005960465;0;1,79999995231628;1,20000004768372;0,291999995708466;0,300000011920929;5;0,300000011920929;0,300000011920929;5,30000019073486;3,5;66;0;7,5;30;4;56,5999984741211;7,5;1,89999997615814;34;27,5;2,5;70
28;00-20;5,69999980926514;1,20000004768372;68;;0,170000001788139;4,30000019073486;3,79999995231628;0,5;0;1,60000002384186;1,10000002384186;;;;;;6,07000017166138;4,46999979019165;73,5999984741211;0;7,59999990463257;22,3999996185303;2,90000009536743;62,5999984741211;8,19999980926514;2,79999995231628;26,3999996185303;32,5;5;62,5
29;00-20;6;3,09999990463257;59;;0,150000005960464;3,59999990463257;3,09999990463257;0,5;0;1,5;1,5;;;;;;5,25;3,75;71,4000015258789;0;6,19999980926514;20,7000007629395;3,29999995231628;59;9,5;2,90000009536743;28,6000003814697;22,5;5;72,5
30;00-20;5,69999980926514;5;61;;0,159999996423721;3,90000009536743;3,29999995231628;0,600000023841858;0;1,60000002384186;1;;;;;;5,65999984741211;4,05999994277954;71,6999969482422;0;5,5;20,6000003814697;3,79999995231628;58,2999992370606;10,6000003814697;2,79999995231628;28,2999992370605;22,5;5;72,5
31;00-20;5,69999980926514;4,30000019073486;58;10,6999998092651;0,150000005960464;4,30000019073486;3,70000004768372;0,600000023841858;0;1,60000002384186;1,39999997615814;0,158000007271767;0,300000011920929;12;0,300000011920929;0,300000011920929;6,05000019073486;4,44999980926514;73,5999984741211;0;6,19999980926514;24,7000007629395;4;61,2000007629395;9,89999961853027;2,5;26,3999996185303;32,5;5;62,5
32;00-20;5,69999980926514;1,39999997615814;85;;0,219999998807907;4,09999990463257;3,59999990463257;0,5;0;1,79999995231628;1,60000002384186;;;;;;6,11999988555908;4,32000017166138;70,5999984741211;0;7,19999980926514;16,3999996185303;2,29999995231628;58,7999992370606;8,19999980926514;3,59999990463257;29,3999996185303;30;5;65
33;00-20;5,69999980926514;6,19999980926514;46;;0,119999997317791;3,5;3,09999990463257;0,400000005960465;0;1,60000002384186;1,39999997615814;;;;;;5,21999979019165;3,61999988555908;69,3000030517578;0;7,69999980926514;25,7999992370605;3,29999995231628;59,4000015258789;7,69999980926514;2,29999995231628;30,7000007629395;32,5;5;62,5
34;00-20;5,69999980926514;4,09999990463257;35;7,90000009536743;0,0900000035762787;4,40000009536743;4;0,400000005960465;0;1,60000002384186;1,60000002384186;0,141000002622604;0,300000011920929;8;0,400000005960465;0,400000005960465;6,09000015258789;4,48999977111816;73,6999969482422;0;10;44,4000015258789;4,40000009536743;65,6999969482422;6,59999990463257;1,5;26,2999992370605;27,5;5;67,5
35;00-20;5,69999980926514;2,40000009536743;39;;0,100000001490116;3,5;3,09999990463257;0,400000005960465;0;1,60000002384186;1,39999997615814;;;;;;5,19999980926514;3,59999990463257;69,1999969482422;0;7,69999980926514;31;4;59,5999984741211;7,69999980926514;1,89999997615814;30,7999992370605;27,5;5;67,5
36;00-20;5,69999980926514;1,5;48;;0,119999997317791;3,90000009536743;3,5;0,400000005960465;0;1,60000002384186;1,39999997615814;;;;;;5,61999988555908;4,01999998092651;71,5;0;8,80000019073486;29,2000007629395;3,29999995231628;62,2999992370606;7,09999990463257;2,09999990463257;28,5;25;5;70
